off_floor_mo,ordinance_type,citation_count
2024-01-01,CIVILITY,240
2024-01-01,SIDEWALK,4
2024-02-01,CIVILITY,292
2024-02-01,SIDEWALK,2
2024-03-01,CIVILITY,177
2024-03-01,SIDEWALK,1
2024-04-01,CIVILITY,249
2024-04-01,SIDEWALK,3
2024-05-01,CIVILITY,226
2024-05-01,SIDEWALK,3
2024-06-01,CIVILITY,278
2024-06-01,SIDEWALK,2
2024-07-01,CIVILITY,200
2024-07-01,SIDEWALK,1
2024-08-01,CIVILITY,229
2024-08-01,SIDEWALK,7
2024-09-01,CIVILITY,202
2024-09-01,SIDEWALK,4
2024-10-01,CIVILITY,100
2024-11-01,CIVILITY,153
2024-11-01,SIDEWALK,7
2024-12-01,CIVILITY,165
2024-12-01,SIDEWALK,4
2025-01-01,CIVILITY,254
2025-01-01,SIDEWALK,3
2025-02-01,CIVILITY,116
2025-03-01,CIVILITY,129
2025-03-01,SIDEWALK,3
2025-04-01,CIVILITY,237
2025-05-01,CIVILITY,84
2025-05-01,SIDEWALK,3
2025-06-01,CIVILITY,188
2025-06-01,SIDEWALK,4
2025-07-01,CIVILITY,224
2025-07-01,OTHER,4
2025-07-01,SIDEWALK,44
2025-08-01,CIVILITY,231
2025-08-01,OTHER,5
2025-08-01,SIDEWALK,85
2025-09-01,CIVILITY,204
2025-09-01,OTHER,7
2025-09-01,SIDEWALK,127
2025-10-01,CIVILITY,337
2025-10-01,OTHER,9
2025-10-01,SIDEWALK,146
2025-11-01,CIVILITY,239
2025-11-01,OTHER,22
2025-11-01,SIDEWALK,106
2025-12-01,CIVILITY,64
2025-12-01,OTHER,28
2025-12-01,SIDEWALK,73
